P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY,tick
18.95,2015,0.02,0.69,2.45,0.61,0.24,20.09,0.22,27.07,10.61,0.11,0.03,0.34,0.01,0.01,0.01,92.57,36.28,0.085,RDNI3
-3.18,2016,-0.19,0.83,2.52,0.55,-1.71,17.23,0.32,-3.56,-3.15,0.15,-0.2,0.62,-0.1,-0.05,-0.05,-11.55,-10.22,0.044000000000000004,RDNI3
-2.89,2017,-0.32,0.5,1.58,0.26,-2.12,14.85,0.41,-3.2,-3.64,0.23,-0.26,0.93,-0.14,-0.08,-0.08,-6.87,-7.81,0.0,RDNI3
-8.92,2018,-0.15,0.51,2.12,0.4,-0.62,14.3,0.38,-7.08,-8.58,0.2,-0.15,1.32,-0.04,-0.02,-0.03,-16.91,-20.5,0.0,RDNI3
344.91,2019,0.01,0.65,3.15,0.55,0.05,14.23,1.11,76.65,53.18,0.48,0.04,2.16,0.0,0.0,0.01,72.33,50.18,0.0,RDNI3
59.38,2020,0.02,0.67,2.43,0.2,0.14,14.05,0.58,89.07,44.12,0.24,0.03,1.2,0.01,0.0,0.0,178.74,88.54,0.0012,RDNI3
114.73,2006,0.03,0.0,2.88,0.0,0.41,13.11,3.61,0.0,32.31,2.98,0.11,3.62,0.03,0.03,0.0,0.0,313.21,0.0,TOTS3
41.44,2007,0.09,0.0,2.98,0.0,1.42,13.38,4.41,34.99,16.33,3.55,0.22,3.59,0.11,0.09,0.1,271.88,126.9,0.0144,TOTS3
23.52,2008,0.07,0.91,2.07,0.0,1.57,14.73,2.51,22.16,8.24,1.11,0.21,1.7,0.11,0.05,0.05,243.31,90.45,0.047,TOTS3
29.64,2009,0.13,0.97,2.04,0.0,3.98,16.28,7.25,20.42,14.75,3.04,0.25,3.72,0.24,0.1,0.15,70.69,51.05,0.0106,TOTS3
38.25,2010,0.12,0.66,2.07,0.93,4.42,20.06,8.43,25.08,18.36,3.76,0.26,4.71,0.22,0.1,0.18,58.56,42.87,0.014499999999999999,TOTS3
31.02,2011,0.13,0.44,1.97,1.0,1.07,4.7,7.08,23.36,17.18,3.97,0.24,4.15,0.23,0.13,0.23,53.98,39.69,0.064,TOTS3
31.39,2012,0.15,0.27,2.23,1.26,1.29,5.65,7.15,21.98,17.27,4.6,0.27,4.59,0.23,0.15,0.31,40.61,31.9,0.0161,TOTS3
26.91,2013,0.14,0.38,2.56,1.49,1.37,6.55,5.64,18.9,15.01,3.26,0.25,3.74,0.21,0.12,0.25,37.93,30.13,0.0195,TOTS3
21.56,2014,0.15,0.53,3.05,1.93,1.62,6.9,5.07,16.34,13.01,2.65,0.25,3.2,0.24,0.12,0.25,34.86,27.74,0.0274,TOTS3
25.87,2015,0.1,0.66,1.76,0.76,1.2,7.57,4.1,22.15,15.28,1.91,0.17,2.66,0.16,0.07,0.11,54.83,37.82,0.036699999999999997,TOTS3
25856.69,2016,0.07,0.53,1.52,0.34,0.0,0.01,3263.88,18694.51,11578.17,1629.93,0.16,1824.06,0.13,0.06,0.1,59.49,36.85,0.0387,TOTS3
52.11,2017,0.04,0.53,1.68,0.63,0.57,7.61,3.93,34.38,16.81,1.99,0.13,2.22,0.08,0.04,0.07,86.93,42.51,0.012,TOTS3
72.53,2018,0.03,0.37,1.44,0.64,0.37,7.78,3.49,35.41,17.33,1.88,0.11,1.94,0.05,0.03,0.07,96.54,47.26,0.011399999999999999,TOTS3
58.65,2019,0.09,0.18,2.84,2.18,1.1,12.86,5.02,38.14,26.33,3.52,0.21,5.45,0.09,0.06,0.17,34.19,23.6,0.006500000000000001,TOTS3
46.81,2020,0.11,0.18,2.66,1.95,0.45,4.37,4.83,36.36,25.24,3.39,0.21,5.27,0.1,0.07,0.15,33.68,23.38,0.0199,TOTS3
25.15,2013,0.26,0.24,4.41,3.27,0.93,3.6,6.52,21.48,18.74,3.66,0.34,6.45,0.26,0.15,0.28,13.49,11.77,0.0,SEER3
17.31,2014,0.3,0.17,1.83,0.69,1.71,5.0,5.92,16.11,14.59,2.97,0.36,5.26,0.34,0.17,0.21,8.76,7.93,0.0101,SEER3
5.91,2015,0.16,0.5,1.84,1.05,1.3,6.05,1.27,4.4,3.52,0.52,0.27,0.95,0.22,0.09,0.14,9.78,7.81,0.0039000000000000003,SEER3
10.12,2016,0.21,0.37,1.92,1.09,1.84,7.59,2.46,7.87,6.54,1.16,0.32,2.08,0.24,0.11,0.19,6.71,5.58,0.0102,SEER3
21.94,2017,0.16,0.21,4.29,3.09,1.43,10.86,2.88,16.97,13.53,1.73,0.26,3.53,0.13,0.08,0.16,5.65,4.5,0.0086,SEER3
10.18,2018,0.16,0.21,2.81,2.26,1.53,11.06,1.41,8.72,6.63,0.85,0.25,1.64,0.14,0.08,0.16,6.03,4.58,0.027000000000000003,SEER3
26.07,2019,0.11,0.14,1.59,0.75,1.06,10.16,2.73,13.74,9.13,1.4,0.31,2.8,0.1,0.05,0.12,7.38,4.91,0.08900000000000001,SEER3
20.62,2020,0.08,0.1,1.72,0.56,0.76,10.29,1.53,8.94,5.41,0.81,0.29,1.58,0.07,0.04,0.1,8.85,5.36,0.0159,SEER3
12.8,2011,0.1,0.4,1.98,1.3,0.89,4.88,2.35,7.7,0.0,1.18,0.0,1.3,0.18,0.09,0.29,0.39,0.0,0.0,SHOW3
-136.79,2012,-0.01,0.31,1.84,0.91,-0.06,5.07,1.55,-136.79,0.0,0.88,0.0,0.79,-0.01,-0.01,-0.01,-32.31,0.0,0.0268,SHOW3
-31.41,2013,-0.02,0.2,1.3,0.55,-0.17,4.76,1.14,-94.22,0.0,0.56,0.0,0.68,-0.04,-0.02,-0.01,-21.56,0.0,0.0,SHOW3
-2.76,2014,-0.13,0.17,1.1,0.5,-1.04,3.77,0.76,-3.16,0.0,0.41,0.0,0.35,-0.28,-0.15,-0.19,-2.08,0.0,0.0,SHOW3
9.96,2015,0.04,0.22,1.14,0.51,0.31,4.03,0.77,6.98,0.0,0.25,0.0,0.38,0.08,0.03,0.06,-0.32,0.0,0.0,SHOW3
13.5,2016,0.04,0.15,1.46,0.74,0.41,4.25,1.32,7.0,0.0,0.7,0.0,0.48,0.1,0.05,0.16,1.52,0.0,0.0054,SHOW3
11.03,2017,0.07,0.08,1.43,0.62,0.67,4.83,1.52,7.3,7.33,0.71,0.1,0.76,0.14,0.06,0.16,0.05,0.05,0.012199999999999999,SHOW3
41.51,2018,0.02,0.36,2.24,1.0,0.18,4.95,1.49,15.1,0.0,0.73,0.0,0.83,0.04,0.02,0.08,2.92,0.0,0.042,SHOW3
-5.86,2019,-0.18,0.57,1.6,0.94,-1.07,4.09,1.53,-8.79,0.0,0.68,0.0,1.07,-0.26,-0.12,-0.13,-2.69,0.0,0.0096,SHOW3
-3.6,2020,-0.17,0.6,1.49,0.88,-0.76,4.04,0.67,-4.83,0.0,0.28,0.0,0.6,-0.19,-0.08,-0.1,-3.24,0.0,0.0,SHOW3
-12.23,2014,-0.25,0.4,2.35,0.74,-0.09,2.65,0.44,-7.04,-7.84,0.3,-0.12,0.96,-0.04,-0.02,-0.05,-42.13,-46.91,0.0,TEND3
32.89,2015,0.04,0.22,2.73,0.47,0.17,2.82,1.95,24.22,21.21,0.93,0.11,2.23,0.06,0.03,0.05,35.28,30.91,0.0,TEND3
15.93,2016,0.05,0.12,3.45,0.63,0.31,4.27,1.16,12.68,11.7,0.61,0.13,1.55,0.07,0.04,0.06,20.22,18.66,0.0,TEND3
10.2,2017,0.08,0.23,3.49,1.23,1.96,21.52,0.93,8.79,7.62,0.51,0.1,0.8,0.09,0.05,0.08,21.37,18.53,0.0,TEND3
8.27,2018,0.12,0.45,3.94,1.89,3.88,23.1,1.39,7.6,6.86,0.64,0.14,0.99,0.17,0.08,0.13,11.56,10.44,0.0159,TEND3
11.93,2019,0.14,0.64,4.34,1.85,2.53,12.95,2.33,10.83,9.77,0.91,0.17,1.62,0.2,0.08,0.12,9.13,8.24,0.0199,TEND3
12.48,2020,0.12,0.68,2.93,1.16,2.22,13.14,2.11,11.01,9.76,0.81,0.15,1.48,0.17,0.07,0.11,10.36,9.18,0.0123,TEND3
